workout_id,lesson_id,user_id,leaderboard_position,total_points,state,app_type,app_tracker,studio_id,lesson_name,created_at
4745737,1394,66047,171,1368.7401,COMPLETED,ios,TICKR X 81B3,CARDIO,Intervals #36,2020-11-07T09:30:00.699Z
4745815,1394,37441,172,1367.6838,COMPLETED,ios,TICKR X 0C04,CARDIO,Intervals #36,2020-11-07T09:30:01.016Z
4746022,1394,503303,173,1378.3679,COMPLETED,ios,TICKR X 4998,CARDIO,Intervals #36,2020-11-07T09:30:17.378Z
4745841,1394,219894,174,1353.9984,COMPLETED,ios,TICKR X EC0A,CARDIO,Intervals #36,2020-11-07T09:30:01.154Z
4745760,1394,378772,175,1347.4514,COMPLETED,ios,TICKR X 3F4E,CARDIO,Intervals #36,2020-11-07T09:30:00.781Z
4745947,1394,476343,176,1340.383,COMPLETED,android,FIIT 73C0C2,CARDIO,Intervals #36,2020-11-07T09:30:08.779Z
4745873,1394,311856,177,1336.0383,COMPLETED,ios,FIIT C64CEC,CARDIO,Intervals #36,2020-11-07T09:30:01.539Z
4745861,1394,499712,178,1330.6829,COMPLETED,ios,TICKR X 246F,CARDIO,Intervals #36,2020-11-07T09:30:01.346Z
4745899,1394,394534,179,1328.4312,COMPLETED,ios,APPLE_WATCH,CARDIO,Intervals #36,2020-11-07T09:30:01.884Z
4745910,1394,376188,180,1326.7561,COMPLETED,ios,TICKR X 12B4,CARDIO,Intervals #36,2020-11-07T09:30:02.296Z
4745952,1394,469447,181,1320.2102,COMPLETED,ios,TICKR X 0672,CARDIO,Intervals #36,2020-11-07T09:30:10.758Z
4745986,1394,259801,181,1331.3732,COMPLETED,ios,TICKR X 5B66,CARDIO,Intervals #36,2020-11-07T09:30:11.516Z
4745993,1394,240500,183,1317.7838,COMPLETED,ios,TICKR X 2B01,CARDIO,Intervals #36,2020-11-07T09:30:11.813Z
4745796,1394,551438,184,1306.6149,COMPLETED,ios,APPLE_WATCH,CARDIO,Intervals #36,2020-11-07T09:30:00.951Z
4745754,1394,75376,185,1304.9187,COMPLETED,ios,APPLE_WATCH,CARDIO,Intervals #36,2020-11-07T09:30:00.756Z
4745920,1394,34265,186,1294.6432,COMPLETED,android,TICKR X E779,CARDIO,Intervals #36,2020-11-07T09:30:02.949Z
4745941,1394,417444,187,1286.6748,COMPLETED,android,TICKR X 8F69,CARDIO,Intervals #36,2020-11-07T09:30:04.07Z
4745980,1394,72700,188,1288.787,COMPLETED,ios,TICKR X B91A,CARDIO,Intervals #36,2020-11-07T09:30:11.368Z
4745898,1394,509430,189,1282.8696,COMPLETED,ios,MYZONE-0003188231,CARDIO,Intervals #36,2020-11-07T09:30:01.868Z
4745775,1394,418533,190,1281.1649,COMPLETED,ios,TICKR X 602D,CARDIO,Intervals #36,2020-11-07T09:30:00.841Z
4745845,1394,495580,191,1271.6649,COMPLETED,ios,MYZONE-0001730488,CARDIO,Intervals #36,2020-11-07T09:30:01.165Z
4745997,1394,493078,192,1247.5525,COMPLETED,ios,TICKR X B9A9,CARDIO,Intervals #36,2020-11-07T09:30:12.229Z
4745886,1394,532246,193,1237.2947,COMPLETED,ios,APPLE_WATCH,CARDIO,Intervals #36,2020-11-07T09:30:01.711Z
4745847,1394,89907,194,1234.8888,COMPLETED,ios,TICKR X E3A2,CARDIO,Intervals #36,2020-11-07T09:30:01.17Z
4745787,1394,47238,195,1229.405,COMPLETED,ios,APPLE_WATCH,CARDIO,Intervals #36,2020-11-07T09:30:00.909Z
4745894,1394,533322,196,1230.2415,COMPLETED,ios,APPLE_WATCH,CARDIO,Intervals #36,2020-11-07T09:30:01.845Z
4745863,1394,481244,197,1200.4694,COMPLETED,ios,MYZONE-0001499293,CARDIO,Intervals #36,2020-11-07T09:30:01.382Z
4745816,1394,506013,198,1196.9447,COMPLETED,ios,APPLE_WATCH,CARDIO,Intervals #36,2020-11-07T09:30:01.024Z
4745901,1394,470753,199,1187.4924,COMPLETED,ios,APPLE_WATCH,CARDIO,Intervals #36,2020-11-07T09:30:02.011Z
4745808,1394,497328,200,1186.3171,COMPLETED,ios,APPLE_WATCH,CARDIO,Intervals #36,2020-11-07T09:30:00.991Z
4745752,1394,280353,201,1178.7919,COMPLETED,ios,FIIT 097550,CARDIO,Intervals #36,2020-11-07T09:30:00.754Z
4745904,1394,472665,202,1174.6501,COMPLETED,ios,TICKR X 7E01,CARDIO,Intervals #36,2020-11-07T09:30:02.211Z
4745950,1394,552569,203,1162.6306,COMPLETED,ios,heart rate sensor,CARDIO,Intervals #36,2020-11-07T09:30:10.645Z
4745858,1394,272348,204,1161.7935,COMPLETED,ios,TICKR X 286F,CARDIO,Intervals #36,2020-11-07T09:30:01.299Z
4746000,1394,441606,205,,STARTED,android,TICKR X 5D4E,CARDIO,Intervals #36,2020-11-07T09:30:12.593Z
4745779,1394,158255,206,1152.4644,COMPLETED,ios,APPLE_WATCH,CARDIO,Intervals #36,2020-11-07T09:30:00.854Z
4745730,1394,3190,207,1141.2296,COMPLETED,ios,TICKR X B921,CARDIO,Intervals #36,2020-11-07T09:30:00.653Z
4745992,1394,410107,208,1138.904,COMPLETED,ios,TICKR X 7BA9,CARDIO,Intervals #36,2020-11-07T09:30:11.767Z
4745736,1394,131018,209,1125.0513,COMPLETED,ios,TICKR X DDB5,CARDIO,Intervals #36,2020-11-07T09:30:00.693Z
4745939,1394,518717,210,1112.7292,COMPLETED,ios,MYZONE-0001885789,CARDIO,Intervals #36,2020-11-07T09:30:03.832Z
4745988,1394,459743,211,1095.5764,COMPLETED,ios,FIIT B06D30,CARDIO,Intervals #36,2020-11-07T09:30:11.538Z
4745852,1394,181025,212,1079.5187,COMPLETED,ios,TICKR X 3E2B,CARDIO,Intervals #36,2020-11-07T09:30:01.241Z
